delta
step	origin_time	contract_time
8192	3.2057260999999997	2.9731060000000005
16384	1.6968595	1.5710435
32768	0.9244136000000001	0.8463817
65536	0.517817	0.47649479999999994
131072	0.317265	0.276982
262144	0.2375766	0.1927923
524288	0.2279028	0.16635780000000003
1048576	0.22233360000000002	0.16768219999999998
2097152	0.22378530000000002	0.16190929999999998
4194304	0.3489113	0.17667039999999998
8388608	0.41880930000000005	0.30672350000000004
16777216	0.3956315	0.3545304
33554432	0.4302446000000001	0.3700526999999999
rho
step	origin_time	contract_time
8192	0.8622887	0.5580218
16384	0.48525350000000006	0.3189151
32768	0.3356028999999999	0.23169
65536	0.28295309999999996	0.1993789
131072	0.3052906	0.21805119999999997
262144	0.3694476	0.2764519
524288	0.4156219	0.3384903
1048576	0.38815720000000004	0.3498783
2097152	0.4073346	0.3469097
4194304	0.405032	0.3470514
8388608	0.4178703	0.34723210000000004
16777216	0.4268155	0.34965029999999997
33554432	0.3877963	0.34946160000000004
