delta
step	origin_time	contract_time
16384	1.3291273	0.3154854	0.0395727
32768	0.8146422000000001	0.17005779999999998	0.0366933
65536	0.36842870000000005	0.10775329999999998	0.0294395
131072	0.23986530000000003	0.0763225	0.036339699999999996
262144	0.1825586	0.06419430000000001	0.040646
524288	0.17472910000000003	0.047160499999999994	0.0322571
1048576	0.1783035	0.0393596	0.030008200000000002
2097152	0.20889670000000002	0.039383999999999995	0.031345899999999996
4194304	0.31389659999999997	0.0421312	0.0345535
8388608	0.3759013	0.045198800000000004	0.0372848
16777216	0.3767356	0.042742699999999995	0.034094
33554432	0.38601640000000004	0.0432888	0.0354504
