delta
step	origin_time	contract_time
8192	0.8660141000000001	0.7897850000000001
16384	0.5186435	0.46026419999999996
32768	0.3728196	0.32056260000000003
65536	0.3320762	0.25561629999999996
131072	0.3200783	0.2332578
262144	0.2944913	0.19897440000000005
524288	0.46621929999999995	0.1803807
1048576	0.5936655	0.2096075
2097152	0.5912019	0.23447289999999996
4194304	0.5790219999999999	0.22987839999999995
8388608	0.591741	0.23470049999999998
16777216	0.6014456999999999	0.2355003
33554432	0.5994344	0.237516
rho
step	origin_time	contract_time
8192	0.6978332	0.42523049999999996
16384	0.4523459000000001	0.2701908
32768	0.3694559	0.2191053
65536	0.3672726	0.2030541
131072	0.42821450000000005	0.21891679999999997
262144	0.5533	0.2298043
524288	0.5843668999999999	0.23236439999999997
1048576	0.5852096	0.23513989999999999
2097152	0.5949645	0.23806720000000006
4194304	0.5849734999999999	0.2381907
8388608	0.5788854999999999	0.24019300000000002
16777216	0.5910114999999999	0.2359925
33554432	0.59447	0.24175960000000002
