delta
step	origin_time	contract_time
16384	0.3644324	0.09841369999999998	0.0445666
32768	0.27615080000000003	0.08671	0.0524024
65536	0.2739534	0.06396289999999999	0.044279700000000005
131072	0.28790189999999993	0.05567829999999999	0.0406999
262144	0.2891612	0.05632569999999999	0.04448149999999999
524288	0.4322534000000001	0.0509914	0.03990230000000001
1048576	0.5458318	0.0538235	0.042125
2097152	0.5591656	0.0628571	0.05125630000000001
4194304	0.552958	0.060616899999999994	0.049171799999999995
8388608	0.5489812	0.06885630000000001	0.05840259999999999
16777216	0.5614676999999999	0.05996699999999999	0.049288700000000005
33554432	0.5492132000000001	0.0588238	0.0487357
