Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 1 	 relax: 0.066765 	 pack: 0.005700
frontier_size: 394 	 relax: 0.003204 	 pack: 0.000006
frontier_size: 1018 	 relax: 0.039893 	 pack: 0.000012
frontier_size: 2323 	 relax: 0.010224 	 pack: 0.000006
frontier_size: 7990 	 relax: 0.044610 	 pack: 0.000010
frontier_size: 14860 	 relax: 0.041679 	 pack: 0.000007
frontier_size: 17447 	 relax: 0.039282 	 pack: 0.000011
frontier_size: 13395 	 relax: 0.038746 	 pack: 0.000011
frontier_size: 19739 	 relax: 0.029633 	 pack: 0.000012
frontier_size: 30188 	 relax: 0.056220 	 pack: 0.000011
frontier_size: 43331 	 relax: 0.062736 	 pack: 0.000008
frontier_size: 39500 	 relax: 0.130270 	 pack: 0.000013
frontier_size: 38860 	 relax: 0.075190 	 pack: 0.000011
frontier_size: 40159 	 relax: 0.150957 	 pack: 0.000011
frontier_size: 45354 	 relax: 0.100077 	 pack: 0.000013
frontier_size: 46500 	 relax: 0.093741 	 pack: 0.000011
frontier_size: 48275 	 relax: 0.038183 	 pack: 0.000011
frontier_size: 68225 	 relax: 0.132613 	 pack: 0.000010
frontier_size: 93423 	 relax: 0.145763 	 pack: 0.000011
frontier_size: 76288 	 relax: 0.096735 	 pack: 0.000012
frontier_size: 89159 	 relax: 0.204022 	 pack: 0.000010
frontier_size: 98974 	 relax: 0.155732 	 pack: 0.000013
frontier_size: 88220 	 relax: 0.216793 	 pack: 0.000011
frontier_size: 74843 	 relax: 0.090988 	 pack: 0.000011
frontier_size: 95326 	 relax: 0.254595 	 pack: 0.000017
frontier_size: 96302 	 relax: 0.095674 	 pack: 0.000008
frontier_size: 115826 	 relax: 0.102092 	 pack: 0.000013
frontier_size: 109423 	 relax: 0.119790 	 pack: 0.000013
frontier_size: 99278 	 relax: 0.249484 	 pack: 0.000109
frontier_size: 97753 	 relax: 0.189222 	 pack: 0.000009
frontier_size: 64622 	 relax: 0.136121 	 pack: 0.000010
frontier_size: 54831 	 relax: 0.062767 	 pack: 0.000011
frontier_size: 49699 	 relax: 0.053245 	 pack: 0.000010
frontier_size: 47884 	 relax: 0.030243 	 pack: 0.000009
frontier_size: 46727 	 relax: 0.037884 	 pack: 0.000010
frontier_size: 44641 	 relax: 0.085402 	 pack: 0.000010
frontier_size: 46272 	 relax: 0.102422 	 pack: 0.000011
frontier_size: 54639 	 relax: 0.156974 	 pack: 0.000011
frontier_size: 57760 	 relax: 0.046021 	 pack: 0.000010
frontier_size: 35410 	 relax: 0.157948 	 pack: 0.000010
frontier_size: 26244 	 relax: 0.110613 	 pack: 0.000010
frontier_size: 33532 	 relax: 0.104334 	 pack: 0.000010
frontier_size: 42405 	 relax: 0.023906 	 pack: 0.000009
frontier_size: 42097 	 relax: 0.037134 	 pack: 0.000010
frontier_size: 42923 	 relax: 0.116596 	 pack: 0.000011
frontier_size: 37495 	 relax: 0.055019 	 pack: 0.000010
frontier_size: 44040 	 relax: 0.133125 	 pack: 0.000012
frontier_size: 52994 	 relax: 0.152515 	 pack: 0.000011
frontier_size: 61804 	 relax: 0.145928 	 pack: 0.000008
frontier_size: 74086 	 relax: 0.192073 	 pack: 0.000010
frontier_size: 85056 	 relax: 0.094760 	 pack: 0.000010
frontier_size: 96270 	 relax: 0.105127 	 pack: 0.000012
frontier_size: 103486 	 relax: 0.083312 	 pack: 0.000010
frontier_size: 127955 	 relax: 0.054869 	 pack: 0.000012
frontier_size: 151831 	 relax: 0.124190 	 pack: 0.000012
frontier_size: 147033 	 relax: 0.218521 	 pack: 0.000012
frontier_size: 145490 	 relax: 0.085569 	 pack: 0.000011
frontier_size: 135321 	 relax: 0.220734 	 pack: 0.000009
frontier_size: 135697 	 relax: 0.056858 	 pack: 0.000007
frontier_size: 128533 	 relax: 0.070283 	 pack: 0.000011
frontier_size: 129283 	 relax: 0.082803 	 pack: 0.000009
frontier_size: 134970 	 relax: 0.107625 	 pack: 0.000012
frontier_size: 129394 	 relax: 0.211659 	 pack: 0.000011
frontier_size: 134680 	 relax: 0.108039 	 pack: 0.000009
frontier_size: 140225 	 relax: 0.181907 	 pack: 0.000008
frontier_size: 156554 	 relax: 0.163267 	 pack: 0.000010
frontier_size: 149143 	 relax: 0.088619 	 pack: 0.000011
frontier_size: 147760 	 relax: 0.049579 	 pack: 0.000007
frontier_size: 155114 	 relax: 0.171733 	 pack: 0.000011
frontier_size: 150221 	 relax: 0.183784 	 pack: 0.000010
frontier_size: 146054 	 relax: 0.054341 	 pack: 0.000080
frontier_size: 150871 	 relax: 0.148839 	 pack: 0.000009
frontier_size: 145710 	 relax: 0.085168 	 pack: 0.000010
frontier_size: 145338 	 relax: 0.036682 	 pack: 0.000010
frontier_size: 154442 	 relax: 0.159393 	 pack: 0.000011
frontier_size: 184953 	 relax: 0.106667 	 pack: 0.000011
frontier_size: 182311 	 relax: 0.171631 	 pack: 0.000010
frontier_size: 179111 	 relax: 0.194507 	 pack: 0.000018
frontier_size: 165025 	 relax: 0.199860 	 pack: 0.000012
frontier_size: 128777 	 relax: 0.102818 	 pack: 0.000012
frontier_size: 129591 	 relax: 0.053283 	 pack: 0.000011
frontier_size: 127267 	 relax: 0.109476 	 pack: 0.000009
frontier_size: 133092 	 relax: 0.073735 	 pack: 0.000011
frontier_size: 137465 	 relax: 0.158006 	 pack: 0.000010
frontier_size: 147148 	 relax: 0.168668 	 pack: 0.000010
frontier_size: 146268 	 relax: 0.148867 	 pack: 0.000011
frontier_size: 149158 	 relax: 0.195996 	 pack: 0.000011
frontier_size: 139555 	 relax: 0.101083 	 pack: 0.000010
frontier_size: 151568 	 relax: 0.228322 	 pack: 0.000011
frontier_size: 157469 	 relax: 0.078892 	 pack: 0.000011
frontier_size: 180272 	 relax: 0.159767 	 pack: 0.000010
frontier_size: 195207 	 relax: 0.145876 	 pack: 0.000009
frontier_size: 212469 	 relax: 0.165064 	 pack: 0.000010
frontier_size: 203925 	 relax: 0.135478 	 pack: 0.000012
frontier_size: 195252 	 relax: 0.197387 	 pack: 0.000019
frontier_size: 191982 	 relax: 0.132997 	 pack: 0.000011
frontier_size: 181365 	 relax: 0.084057 	 pack: 0.000010
frontier_size: 180347 	 relax: 0.141373 	 pack: 0.000011
frontier_size: 159168 	 relax: 0.176177 	 pack: 0.000011
frontier_size: 130652 	 relax: 0.186438 	 pack: 0.000024
frontier_size: 135311 	 relax: 0.080885 	 pack: 0.000011
frontier_size: 142367 	 relax: 0.217739 	 pack: 0.000011
frontier_size: 113159 	 relax: 0.060543 	 pack: 0.000010
frontier_size: 100883 	 relax: 0.204973 	 pack: 0.000015
frontier_size: 70939 	 relax: 0.167554 	 pack: 0.000014
frontier_size: 55657 	 relax: 0.070572 	 pack: 0.000011
frontier_size: 40920 	 relax: 0.147355 	 pack: 0.000016
frontier_size: 42554 	 relax: 0.041128 	 pack: 0.000012
frontier_size: 35200 	 relax: 0.142020 	 pack: 0.000010
frontier_size: 29450 	 relax: 0.116187 	 pack: 0.000012
frontier_size: 25839 	 relax: 0.040210 	 pack: 0.000010
frontier_size: 17462 	 relax: 0.178008 	 pack: 0.000014
frontier_size: 16817 	 relax: 0.105588 	 pack: 0.000010
frontier_size: 16979 	 relax: 0.083120 	 pack: 0.000009
frontier_size: 16126 	 relax: 0.085758 	 pack: 0.000011
frontier_size: 11127 	 relax: 0.049715 	 pack: 0.000008
frontier_size: 7625 	 relax: 0.117149 	 pack: 0.000009
frontier_size: 3651 	 relax: 0.062973 	 pack: 0.000011
frontier_size: 5047 	 relax: 0.071923 	 pack: 0.000011
frontier_size: 5184 	 relax: 0.027536 	 pack: 0.000009
frontier_size: 3321 	 relax: 0.001473 	 pack: 0.000002
frontier_size: 730 	 relax: 0.000842 	 pack: 0.000002
frontier_size: 9 	 relax: 0.013208 	 pack: 0.000003
frontier_size: 0 	 relax: 0.000139 	 pack: 0.000001
124 Warmup Round: 13.766192
frontier_size: 1 	 relax: 0.078842 	 pack: 0.176970
frontier_size: 394 	 relax: 0.000359 	 pack: 0.000003
frontier_size: 1936 	 relax: 0.243505 	 pack: 0.000012
frontier_size: 5455 	 relax: 0.061320 	 pack: 0.000011
frontier_size: 10183 	 relax: 0.085428 	 pack: 0.000010
frontier_size: 19864 	 relax: 0.029932 	 pack: 0.000011
frontier_size: 21909 	 relax: 0.063922 	 pack: 0.000010
frontier_size: 23950 	 relax: 0.098105 	 pack: 0.000008
