delta
step	origin_time	contract_time
256	0.659845	0.5493783000000001
512	0.36623424999999993	0.30632335000000005
1024	0.216177	0.18556705
2048	0.1565961	0.13533305
4096	0.1414501	0.11796140000000002
8192	0.1409065	0.1164854
16384	0.18178964999999997	0.12494209999999999
32768	0.17393835000000002	0.1530299
rho
step	origin_time	contract_time
256	0.42962180000000005	0.4365124999999999
512	0.31360455	0.30567940000000005
1024	0.23463714999999996	0.2214211
2048	0.17776375000000003	0.17086255
4096	0.1873547142857143	0.16874514285714287
8192	0.15883974999999997	0.14610790000000004
16384	0.1447529	0.14529285
32768	0.19843464285714285	0.15846721428571428
