delta
step	origin_time	contract_time
8192	0.14828239999999998	0.1151222
16384	0.16160380000000002	0.1303852
32768	0.2036124	0.1630128
65536	0.20709180000000002	0.17279379999999997
131072	0.23442859999999993	0.2095252
262144	0.2782198	0.21303299999999997
524288	0.24870399999999998	0.20505800000000002
1048576	0.2642366	0.2298708
2097152	0.2412572	0.206277
4194304	0.2567576	0.223704
8388608	0.24822580000000002	0.22013119999999997
16777216	0.2673762	0.21380180000000001
33554432	0.2473938	0.2110612
rho
step	origin_time	contract_time
8192	0.305403	0.289389
16384	0.223325	0.21212879999999998
32768	0.1953268	0.1749376
65536	0.1864476	0.18864960000000003
131072	0.192152	0.17868219999999999
262144	0.1905478	0.20101819999999998
524288	0.21588260000000004	0.1978978
1048576	0.26553279999999996	0.2002408
2097152	0.2516246	0.204023
4194304	0.24607680000000004	0.2061038
8388608	0.2644558	0.21229400000000004
16777216	0.2624724	0.2140348
33554432	0.28090400000000004	0.23685079999999997
