delta
step	origin_time	contract_time
8192	1.1650208	1.1814156
16384	0.6654318	0.6821178
32768	0.4350142	0.446
65536	0.38174399999999997	0.4104305999999999
131072	0.3195708	0.32488900000000004
262144	0.1961488	0.1997246
524288	0.1449484	0.145317
1048576	0.12099299999999999	0.120032
2097152	0.120987	0.1113796
4194304	0.1427294	0.11205720000000001
8388608	0.17449	0.12143600000000002
16777216	0.26539799999999997	0.12122600000000001
33554432	0.2760242	0.1412446
rho
step	origin_time	contract_time
8192	0.5228250000000001	0.7597026
16384	0.5235722	0.7613918
32768	0.5267118	0.7667924
65536	0.5190056000000001	0.7702745999999999
131072	0.5290062000000001	0.7623198
262144	0.5263988	0.7584208
524288	0.5235944	0.7577922
1048576	0.5277892	0.7591192
2097152	0.520692	0.7638076
4194304	0.5263818	0.7648016
8388608	0.5291750000000001	0.7729502
16777216	0.5322518	0.7633052
33554432	0.5359098	0.7761452
