
Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/zwan018/origin/Germany_sym_wgh.adj: |V|=12277375, |E|=32266600, param=1048576, num_src=25, num_round=10
source 0: 7832761   
87 Warmup Round: 0.229412
87 Round 1: 0.214407
87 Round 2: 0.219988
87 Round 3: 0.231880
87 Round 4: 0.207929
87 Round 5: 0.213406
88 Round 6: 0.216468
87 Round 7: 0.210498
87 Round 8: 0.206796
86 Round 9: 0.206784
87 Round 10: 0.212687
45 Warmup Round: 0.157748
44 Round 1: 0.112382
45 Round 2: 0.114710
44 Round 3: 0.107223
45 Round 4: 0.107757
45 Round 5: 0.112082
45 Round 6: 0.110968
45 Round 7: 0.109477
45 Round 8: 0.107038
45 Round 9: 0.109292
45 Round 10: 0.111824
Average time: 0.214084	0.110275

source 1: 8479660   
101 Warmup Round: 0.267216
102 Round 1: 0.237668
101 Round 2: 0.242881
101 Round 3: 0.243593
102 Round 4: 0.239188
102 Round 5: 0.231436
101 Round 6: 0.233342
102 Round 7: 0.230775
101 Round 8: 0.237716
102 Round 9: 0.240293
103 Round 10: 0.238053
43 Warmup Round: 0.112674
43 Round 1: 0.117942
43 Round 2: 0.114512
43 Round 3: 0.107351
43 Round 4: 0.118247
43 Round 5: 0.121698
41 Round 6: 0.121142
43 Round 7: 0.111148
42 Round 8: 0.126274
43 Round 9: 0.115131
43 Round 10: 0.113037
Average time: 0.237494	0.116648

source 2: 4739329   
201 Warmup Round: 0.236445
202 Round 1: 0.218329
203 Round 2: 0.219009
203 Round 3: 0.225928
202 Round 4: 0.227958
203 Round 5: 0.215279
202 Round 6: 0.220808
202 Round 7: 0.225593
202 Round 8: 0.219919
202 Round 9: 0.221336
202 Round 10: 0.219562
90 Warmup Round: 0.111204
90 Round 1: 0.114372
90 Round 2: 0.113208
90 Round 3: 0.110742
90 Round 4: 0.114423
90 Round 5: 0.114678
91 Round 6: 0.126020
90 Round 7: 0.119610
90 Round 8: 0.113029
90 Round 9: 0.111131
90 Round 10: 0.109213
Average time: 0.221372	0.114643

source 3: 6656264   
163 Warmup Round: 0.205145
163 Round 1: 0.205777
163 Round 2: 0.204181
163 Round 3: 0.208098
162 Round 4: 0.211775
162 Round 5: 0.213868
163 Round 6: 0.202355
161 Round 7: 0.214944
161 Round 8: 0.211714
162 Round 9: 0.208119
162 Round 10: 0.205316
74 Warmup Round: 0.107943
76 Round 1: 0.102345
74 Round 2: 0.111504
74 Round 3: 0.119120
73 Round 4: 0.110023
74 Round 5: 0.111580
76 Round 6: 0.105908
76 Round 7: 0.108518
74 Round 8: 0.107887
74 Round 9: 0.104068
74 Round 10: 0.105676
Average time: 0.208615	0.108663

source 4: 990186    
117 Warmup Round: 0.244238
117 Round 1: 0.243796
116 Round 2: 0.225005
116 Round 3: 0.235946
115 Round 4: 0.232694
115 Round 5: 0.222964
115 Round 6: 0.228476
116 Round 7: 0.226610
116 Round 8: 0.218592
116 Round 9: 0.219502
116 Round 10: 0.231689
55 Warmup Round: 0.118048
54 Round 1: 0.118123
54 Round 2: 0.120327
55 Round 3: 0.114159
54 Round 4: 0.132026
55 Round 5: 0.126234
55 Round 6: 0.115600
55 Round 7: 0.115999
55 Round 8: 0.116318
56 Round 9: 0.116307
55 Round 10: 0.114559
Average time: 0.228527	0.118965

source 5: 8108528   
205 Warmup Round: 0.225182
205 Round 1: 0.205253
205 Round 2: 0.218171
204 Round 3: 0.209902
205 Round 4: 0.210420
203 Round 5: 0.211493
204 Round 6: 0.217810
206 Round 7: 0.217270
203 Round 8: 0.208415
205 Round 9: 0.204712
204 Round 10: 0.207806
92 Warmup Round: 0.117154
92 Round 1: 0.122452
92 Round 2: 0.112572
92 Round 3: 0.112863
92 Round 4: 0.116052
92 Round 5: 0.113788
92 Round 6: 0.120284
92 Round 7: 0.118345
92 Round 8: 0.116902
92 Round 9: 0.121961
92 Round 10: 0.114887
Average time: 0.211125	0.117011

source 6: 8017151   
160 Warmup Round: 0.233329
159 Round 1: 0.236243
159 Round 2: 0.222469
159 Round 3: 0.218847
160 Round 4: 0.219430
161 Round 5: 0.216551
160 Round 6: 0.210412
160 Round 7: 0.215808
160 Round 8: 0.219596
160 Round 9: 0.225177
160 Round 10: 0.221481
74 Warmup Round: 0.114256
73 Round 1: 0.108813
73 Round 2: 0.117750
74 Round 3: 0.113533
73 Round 4: 0.110606
74 Round 5: 0.112335
75 Round 6: 0.105168
73 Round 7: 0.109933
73 Round 8: 0.108471
74 Round 9: 0.108743
73 Round 10: 0.122100
Average time: 0.220601	0.111745

source 7: 2053165   
101 Warmup Round: 0.223548
102 Round 1: 0.218845
100 Round 2: 0.228459
101 Round 3: 0.210346
102 Round 4: 0.208820
99 Round 5: 0.208448
102 Round 6: 0.209857
103 Round 7: 0.223705
102 Round 8: 0.212457
102 Round 9: 0.221352
102 Round 10: 0.210910
46 Warmup Round: 0.116644
47 Round 1: 0.112431
48 Round 2: 0.107911
46 Round 3: 0.109819
47 Round 4: 0.121388
47 Round 5: 0.109804
47 Round 6: 0.117478
47 Round 7: 0.114220
47 Round 8: 0.110428
47 Round 9: 0.120420
47 Round 10: 0.109102
Average time: 0.215320	0.113300

source 8: 1874697   
200 Warmup Round: 0.236287
198 Round 1: 0.218646
200 Round 2: 0.226606
200 Round 3: 0.223471
200 Round 4: 0.222672
200 Round 5: 0.236044
200 Round 6: 0.225573
200 Round 7: 0.228690
200 Round 8: 0.236200
200 Round 9: 0.221228
199 Round 10: 0.231624
87 Warmup Round: 0.119547
86 Round 1: 0.116804
86 Round 2: 0.112816
88 Round 3: 0.124385
88 Round 4: 0.124535
87 Round 5: 0.122998
87 Round 6: 0.117437
87 Round 7: 0.117357
87 Round 8: 0.125404
88 Round 9: 0.119929
86 Round 10: 0.118994
Average time: 0.227075	0.120066

source 9: 4072505   
133 Warmup Round: 0.222138
132 Round 1: 0.223313
132 Round 2: 0.209441
132 Round 3: 0.211403
133 Round 4: 0.219028
135 Round 5: 0.214068
132 Round 6: 0.218129
133 Round 7: 0.228884
133 Round 8: 0.235370
133 Round 9: 0.224460
135 Round 10: 0.225637
56 Warmup Round: 0.130678
55 Round 1: 0.122680
56 Round 2: 0.118435
55 Round 3: 0.122449
56 Round 4: 0.112698
56 Round 5: 0.116668
55 Round 6: 0.114743
57 Round 7: 0.120420
56 Round 8: 0.125285
56 Round 9: 0.118868
55 Round 10: 0.118586
Average time: 0.220973	0.119083

source 10: 6229199   
104 Warmup Round: 0.218299
106 Round 1: 0.216514
106 Round 2: 0.225048
105 Round 3: 0.223448
105 Round 4: 0.221475
106 Round 5: 0.233681
106 Round 6: 0.217118
107 Round 7: 0.208098
106 Round 8: 0.222015
107 Round 9: 0.212144
105 Round 10: 0.220301
52 Warmup Round: 0.111004
52 Round 1: 0.109131
52 Round 2: 0.112394
53 Round 3: 0.107628
52 Round 4: 0.108427
52 Round 5: 0.117240
52 Round 6: 0.103188
52 Round 7: 0.105911
53 Round 8: 0.103636
53 Round 9: 0.113016
52 Round 10: 0.107863
Average time: 0.219984	0.108843

source 11: 11148814  
119 Warmup Round: 0.214106
118 Round 1: 0.206189
119 Round 2: 0.202477
117 Round 3: 0.214662
119 Round 4: 0.212873
118 Round 5: 0.205514
119 Round 6: 0.211275
119 Round 7: 0.209209
119 Round 8: 0.207191
119 Round 9: 0.210283
118 Round 10: 0.217980
54 Warmup Round: 0.124886
55 Round 1: 0.113989
54 Round 2: 0.112331
56 Round 3: 0.109870
56 Round 4: 0.111014
54 Round 5: 0.115797
56 Round 6: 0.116837
53 Round 7: 0.113313
54 Round 8: 0.113034
56 Round 9: 0.111399
53 Round 10: 0.111027
Average time: 0.209765	0.112861

source 12: 1570767   
104 Warmup Round: 0.247627
104 Round 1: 0.243593
104 Round 2: 0.246740
105 Round 3: 0.241973
105 Round 4: 0.233616
105 Round 5: 0.234352
103 Round 6: 0.242023
104 Round 7: 0.256054
105 Round 8: 0.237472
105 Round 9: 0.237253
105 Round 10: 0.242482
49 Warmup Round: 0.104367
47 Round 1: 0.109896
49 Round 2: 0.103200
49 Round 3: 0.103821
48 Round 4: 0.103467
49 Round 5: 0.103477
49 Round 6: 0.114556
47 Round 7: 0.125340
49 Round 8: 0.107303
49 Round 9: 0.106739
49 Round 10: 0.105346
