delta
step	origin_time	contract_time
16384	2.4573834000000003	0.0660564	0.0248761
32768	1.240665	0.0475332	0.024278800000000003
65536	0.6630581000000001	0.0363524	0.022309600000000002
131072	0.3840542	0.0322682	0.023011700000000003
262144	0.21199279999999998	0.0284634	0.022083799999999997
524288	0.14044399999999999	0.024903400000000003	0.0200073
1048576	0.1295973	0.023866400000000003	0.0196088
2097152	0.1257201	0.0229403	0.0189507
4194304	0.10904099999999999	0.024395599999999996	0.0206533
8388608	0.0960847	0.023787999999999997	0.019843899999999998
16777216	0.09848219999999999	0.022567499999999997	0.0189655
33554432	0.1132583	0.022515600000000004	0.0190105
