Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/sd_arc_sym.bin: |V|=89247739, |E|=3880015728, param=16384, num_src=25, num_round=10
source 0: 15374731  
121 Warmup Round: 2.932620
121 Round 1: 2.745489
121 Round 2: 2.707916
121 Round 3: 2.961408
120 Round 4: 2.694138
120 Round 5: 2.642000
121 Round 6: 3.024231
121 Round 7: 2.686432
122 Round 8: 2.890805
120 Round 9: 2.553661
121 Round 10: 3.072807
61 Warmup Round: 2.432134
61 Round 1: 2.285664
61 Round 2: 2.407516
62 Round 3: 2.270230
61 Round 4: 2.353417
61 Round 5: 2.313931
62 Round 6: 2.288094
61 Round 7: 2.459927
62 Round 8: 2.357289
62 Round 9: 2.447926
61 Round 10: 2.303004
Average time: 2.797889	2.348700

source 1: 83538523  
109 Warmup Round: 3.977262
112 Round 1: 3.800446
111 Round 2: 3.735962
109 Round 3: 4.002742
109 Round 4: 3.655050
109 Round 5: 3.750219
109 Round 6: 3.855585
109 Round 7: 3.748359
109 Round 8: 3.842266
109 Round 9: 3.863665
111 Round 10: 3.841594
47 Warmup Round: 4.001337
48 Round 1: 3.845788
47 Round 2: 4.400150
45 Round 3: 3.564648
46 Round 4: 4.049674
45 Round 5: 3.705403
48 Round 6: 3.403109
44 Round 7: 3.693850
47 Round 8: 3.470341
46 Round 9: 3.557581
46 Round 10: 3.512396
Average time: 3.809589	3.720294

source 2: 50043166  
112 Warmup Round: 2.326683
113 Round 1: 2.275453
113 Round 2: 2.420621
112 Round 3: 2.378015
113 Round 4: 2.494338
112 Round 5: 2.414445
112 Round 6: 2.424146
114 Round 7: 2.394588
115 Round 8: 2.493991
114 Round 9: 2.516818
113 Round 10: 2.437700
51 Warmup Round: 2.493019
50 Round 1: 2.430101
50 Round 2: 2.485609
51 Round 3: 2.410220
51 Round 4: 2.339477
50 Round 5: 2.372447
50 Round 6: 2.407830
50 Round 7: 2.344915
51 Round 8: 2.391274
50 Round 9: 2.508172
50 Round 10: 2.475861
Average time: 2.425012	2.416591

source 3: 83144418  
113 Warmup Round: 2.842198
113 Round 1: 2.688028
113 Round 2: 2.642253
113 Round 3: 2.738062
113 Round 4: 2.841068
113 Round 5: 2.837324
113 Round 6: 2.770836
112 Round 7: 2.640162
112 Round 8: 2.592311
113 Round 9: 2.754877
113 Round 10: 2.725968
53 Warmup Round: 2.556663
52 Round 1: 2.574966
52 Round 2: 2.639922
52 Round 3: 2.589799
52 Round 4: 2.590297
52 Round 5: 2.562521
53 Round 6: 2.609041
52 Round 7: 2.574024
53 Round 8: 2.532986
52 Round 9: 2.590472
53 Round 10: 2.595369
Average time: 2.723089	2.585940

source 4: 53870671  
109 Warmup Round: 3.146444
109 Round 1: 3.139290
108 Round 2: 2.665183
108 Round 3: 2.601502
108 Round 4: 2.704158
109 Round 5: 3.025793
107 Round 6: 2.302790
108 Round 7: 2.669796
112 Round 8: 3.116869
110 Round 9: 3.022705
109 Round 10: 3.132877
49 Warmup Round: 1.872231
49 Round 1: 1.907404
49 Round 2: 1.834697
49 Round 3: 1.894980
49 Round 4: 1.864468
49 Round 5: 1.841652
49 Round 6: 1.861074
49 Round 7: 1.846713
49 Round 8: 1.846933
49 Round 9: 1.880137
49 Round 10: 1.925746
Average time: 2.838096	1.870380

source 5: 32663278  
107 Warmup Round: 3.860686
105 Round 1: 3.318215
105 Round 2: 3.131941
105 Round 3: 3.345408
106 Round 4: 3.787572
105 Round 5: 3.391236
106 Round 6: 3.757130
106 Round 7: 3.805268
105 Round 8: 3.246091
105 Round 9: 3.361213
106 Round 10: 3.720818
46 Warmup Round: 2.531811
47 Round 1: 2.532239
47 Round 2: 2.408119
47 Round 3: 2.378982
46 Round 4: 2.502029
47 Round 5: 2.453125
47 Round 6: 2.453199
47 Round 7: 2.488058
47 Round 8: 2.440034
46 Round 9: 2.427156
47 Round 10: 2.403151
Average time: 3.486489	2.448609

source 6: 55680021  
109 Warmup Round: 3.520539
108 Round 1: 3.056908
109 Round 2: 3.408067
109 Round 3: 3.188890
109 Round 4: 3.257807
109 Round 5: 3.434119
108 Round 6: 3.096587
108 Round 7: 2.987167
110 Round 8: 3.428437
108 Round 9: 3.001422
109 Round 10: 3.485592
49 Warmup Round: 2.667362
50 Round 1: 2.655845
50 Round 2: 2.700891
49 Round 3: 2.641785
49 Round 4: 2.750826
49 Round 5: 2.778540
50 Round 6: 2.633228
50 Round 7: 2.802338
50 Round 8: 2.669175
49 Round 9: 2.622237
50 Round 10: 2.623360
Average time: 3.234500	2.687822

source 7: 74270785  
109 Warmup Round: 3.019612
110 Round 1: 2.954671
109 Round 2: 2.924548
113 Round 3: 2.816206
109 Round 4: 2.920655
109 Round 5: 2.897176
109 Round 6: 2.682386
109 Round 7: 3.115850
109 Round 8: 3.046356
108 Round 9: 2.572199
110 Round 10: 3.039794
47 Warmup Round: 2.216969
47 Round 1: 2.216549
47 Round 2: 2.178337
47 Round 3: 2.158494
47 Round 4: 2.155410
47 Round 5: 2.184796
47 Round 6: 2.167667
47 Round 7: 2.161526
47 Round 8: 2.205467
47 Round 9: 2.129377
47 Round 10: 2.156848
Average time: 2.896984	2.171447

source 8: 46248792  
113 Warmup Round: 2.873830
113 Round 1: 2.958135
113 Round 2: 2.806990
112 Round 3: 2.531570
113 Round 4: 2.943407
114 Round 5: 3.016935
113 Round 6: 2.840630
113 Round 7: 2.902091
113 Round 8: 2.848048
115 Round 9: 3.015924
114 Round 10: 2.546371
50 Warmup Round: 2.184964
50 Round 1: 2.239432
56 Round 2: 2.175471
50 Round 3: 2.208325
51 Round 4: 2.178443
50 Round 5: 2.184539
51 Round 6: 2.267390
52 Round 7: 2.221476
50 Round 8: 2.221169
51 Round 9: 2.193096
51 Round 10: 2.157549
Average time: 2.841010	2.204689

source 9: 14438379  
111 Warmup Round: 2.931217
111 Round 1: 2.623752
111 Round 2: 2.996435
118 Round 3: 2.960189
111 Round 4: 2.832878
116 Round 5: 2.871766
111 Round 6: 2.599188
111 Round 7: 2.873247
111 Round 8: 2.939430
114 Round 9: 2.958172
111 Round 10: 2.855806
49 Warmup Round: 2.391720
49 Round 1: 2.313720
49 Round 2: 2.287621
49 Round 3: 2.273101
49 Round 4: 2.240193
49 Round 5: 2.226681
49 Round 6: 2.288085
49 Round 7: 2.335499
49 Round 8: 2.221312
49 Round 9: 2.258977
49 Round 10: 2.305926
Average time: 2.851086	2.275111

source 10: 17077283  
10 Warmup Round: 0.019336
10 Round 1: 0.009655
10 Round 2: 0.010005
10 Round 3: 0.011352
10 Round 4: 0.013459
10 Round 5: 0.010013
10 Round 6: 0.012430
10 Round 7: 0.009580
10 Round 8: 0.009916
10 Round 9: 0.011458
10 Round 10: 0.012289
10 Warmup Round: 0.075135
10 Round 1: 0.048466
10 Round 2: 0.050897
10 Round 3: 0.046691
10 Round 4: 0.048956
10 Round 5: 0.048134
10 Round 6: 0.054322
10 Round 7: 0.051918
10 Round 8: 0.055333
10 Round 9: 0.050569
10 Round 10: 0.081713
Average time: 0.011016	0.053700

source 11: 30503288  
108 Warmup Round: 2.282693
108 Round 1: 2.412768
108 Round 2: 2.171914
108 Round 3: 2.239668
108 Round 4: 2.426042
109 Round 5: 2.830752
109 Round 6: 2.674865
109 Round 7: 2.695295
108 Round 8: 2.274878
108 Round 9: 2.379832
108 Round 10: 2.235806
47 Warmup Round: 2.172041
47 Round 1: 2.104382
47 Round 2: 2.135409
46 Round 3: 2.123001
47 Round 4: 2.081017
47 Round 5: 2.110827
47 Round 6: 2.068045
47 Round 7: 2.159669
47 Round 8: 2.103586
47 Round 9: 2.088055
47 Round 10: 2.119862
Average time: 2.434182	2.109385

source 12: 49715847  
110 Warmup Round: 2.896471
112 Round 1: 2.836631
112 Round 2: 2.727412
110 Round 3: 2.929892
110 Round 4: 2.873354
111 Round 5: 2.957009
110 Round 6: 2.750115
111 Round 7: 2.821132
110 Round 8: 2.903792
110 Round 9: 2.693861
110 Round 10: 2.953093
47 Warmup Round: 2.399160
48 Round 1: 2.477144
48 Round 2: 2.544209
52 Round 3: 2.559699
49 Round 4: 2.796833
47 Round 5: 2.543247
47 Round 6: 2.483081
48 Round 7: 2.419284
48 Round 8: 2.429069
47 Round 9: 2.487842
46 Round 10: 2.646785
Average time: 2.844629	2.538719

source 13: 84851845  
108 Warmup Round: 3.029153
108 Round 1: 2.799671
109 Round 2: 3.057403
109 Round 3: 2.974900
108 Round 4: 2.981294
108 Round 5: 2.919045
107 Round 6: 2.718838
109 Round 7: 2.928361
108 Round 8: 3.001881
109 Round 9: 3.023242
107 Round 10: 2.681946
47 Warmup Round: 2.399894
47 Round 1: 2.479667
47 Round 2: 2.449397
47 Round 3: 2.396812
47 Round 4: 2.395684
46 Round 5: 2.413066
48 Round 6: 2.375939
47 Round 7: 2.414342
47 Round 8: 2.403281
47 Round 9: 2.422246
46 Round 10: 2.435656
Average time: 2.908658	2.418609

source 14: 39100487  
110 Warmup Round: 2.814275
109 Round 1: 2.805121
109 Round 2: 2.891900
109 Round 3: 2.997563
108 Round 4: 2.583481
109 Round 5: 2.936125
111 Round 6: 2.820357
108 Round 7: 2.639074
110 Round 8: 2.830934
111 Round 9: 2.914513
109 Round 10: 2.782388
49 Warmup Round: 2.155026
49 Round 1: 2.154402
49 Round 2: 2.135608
49 Round 3: 2.097418
49 Round 4: 2.121219
49 Round 5: 2.106909
49 Round 6: 2.145293
49 Round 7: 2.147456
49 Round 8: 2.094573
49 Round 9: 2.104921
49 Round 10: 2.106692
Average time: 2.820146	2.121449

source 15: 40544520  
113 Warmup Round: 2.603430
113 Round 1: 2.583723
114 Round 2: 2.705835
113 Round 3: 2.687980
114 Round 4: 2.847208
113 Round 5: 2.609607
114 Round 6: 2.851246
114 Round 7: 2.691116
113 Round 8: 2.608953
114 Round 9: 2.780153
114 Round 10: 2.893273
55 Warmup Round: 2.416640
55 Round 1: 2.405155
56 Round 2: 2.414985
56 Round 3: 2.373808
58 Round 4: 2.431001
56 Round 5: 2.574302
55 Round 6: 2.540027
55 Round 7: 2.294248
56 Round 8: 2.407572
55 Round 9: 2.349747
55 Round 10: 2.435210
Average time: 2.725909	2.422606

source 16: 68564888  
107 Warmup Round: 2.458939
106 Round 1: 2.395956
107 Round 2: 2.251768
108 Round 3: 2.475300
107 Round 4: 2.441288
109 Round 5: 2.580264
106 Round 6: 2.358966
106 Round 7: 2.429143
109 Round 8: 2.436091
106 Round 9: 2.562064
106 Round 10: 2.497487
46 Warmup Round: 2.080084
46 Round 1: 2.004990
46 Round 2: 2.076236
46 Round 3: 2.101487
46 Round 4: 2.021303
46 Round 5: 2.075556
46 Round 6: 2.053493
