Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/sd_arc_sym.bin: |V|=89247739, |E|=3880015728, param=524288, num_src=25, num_round=10
source 0: 15374731  
13 Warmup Round: 2.719048
13 Round 1: 2.644458
12 Round 2: 2.540276
13 Round 3: 2.580820
13 Round 4: 2.510240
12 Round 5: 2.644020
12 Round 6: 2.682392
12 Round 7: 2.590485
13 Round 8: 2.653325
12 Round 9: 2.623698
12 Round 10: 2.616312
11 Warmup Round: 2.508474
10 Round 1: 2.290032
10 Round 2: 2.439985
10 Round 3: 2.435290
10 Round 4: 2.463384
12 Round 5: 2.582091
10 Round 6: 2.316039
11 Round 7: 2.403493
11 Round 8: 2.486891
10 Round 9: 2.400755
10 Round 10: 2.395021
Average time: 2.608603	2.421298

source 1: 83538523  
12 Warmup Round: 3.806794
14 Round 1: 3.665019
14 Round 2: 3.828507
12 Round 3: 3.642934
12 Round 4: 3.710946
12 Round 5: 3.620545
12 Round 6: 3.634027
13 Round 7: 3.734218
12 Round 8: 3.567223
12 Round 9: 3.822276
12 Round 10: 3.540397
12 Warmup Round: 3.422953
11 Round 1: 3.394344
10 Round 2: 3.263173
11 Round 3: 3.326024
13 Round 4: 3.270081
12 Round 5: 3.461217
13 Round 6: 3.330926
11 Round 7: 3.390451
24 Round 8: 3.395364
11 Round 9: 3.379502
10 Round 10: 3.348332
Average time: 3.676609	3.355941

source 2: 50043166  
15 Warmup Round: 2.719246
13 Round 1: 2.407044
13 Round 2: 2.443296
13 Round 3: 2.438848
12 Round 4: 2.459790
13 Round 5: 2.464482
13 Round 6: 2.405506
12 Round 7: 2.365320
13 Round 8: 2.396166
13 Round 9: 2.421124
14 Round 10: 2.481726
11 Warmup Round: 2.272449
12 Round 1: 2.162787
12 Round 2: 2.217479
11 Round 3: 2.172826
8 Round 4: 2.161026
8 Round 5: 2.116762
12 Round 6: 2.191383
11 Round 7: 2.144423
9 Round 8: 2.119260
11 Round 9: 2.166843
13 Round 10: 2.196947
Average time: 2.428330	2.164974

source 3: 83144418  
12 Warmup Round: 2.488192
13 Round 1: 2.474905
12 Round 2: 2.460352
12 Round 3: 2.465662
13 Round 4: 2.488491
11 Round 5: 2.477037
15 Round 6: 2.533885
15 Round 7: 2.729799
12 Round 8: 2.488720
14 Round 9: 2.477473
12 Round 10: 2.512098
8 Warmup Round: 2.339402
8 Round 1: 2.218827
10 Round 2: 2.292673
9 Round 3: 2.263225
9 Round 4: 2.228965
9 Round 5: 2.242422
9 Round 6: 2.269504
9 Round 7: 2.234689
9 Round 8: 2.210647
8 Round 9: 2.218827
10 Round 10: 2.234048
Average time: 2.510842	2.241383

source 4: 53870671  
16 Warmup Round: 2.355496
15 Round 1: 2.199170
16 Round 2: 2.187898
17 Round 3: 2.232485
15 Round 4: 2.183238
17 Round 5: 2.241228
15 Round 6: 2.186452
15 Round 7: 2.134849
18 Round 8: 2.185894
16 Round 9: 2.193647
15 Round 10: 2.150786
9 Warmup Round: 2.061582
11 Round 1: 1.979188
11 Round 2: 2.295785
12 Round 3: 2.169604
11 Round 4: 2.041997
12 Round 5: 2.029981
12 Round 6: 2.293304
13 Round 7: 2.193452
12 Round 8: 2.305713
15 Round 9: 2.057053
10 Round 10: 2.620125
Average time: 2.189565	2.198620

source 5: 32663278  
14 Warmup Round: 3.658038
14 Round 1: 3.496513
13 Round 2: 3.392251
12 Round 3: 3.304058
13 Round 4: 3.424664
14 Round 5: 3.577956
14 Round 6: 3.690691
13 Round 7: 3.409481
13 Round 8: 3.391306
15 Round 9: 4.130308
15 Round 10: 4.180891
8 Warmup Round: 3.069695
10 Round 1: 3.126401
9 Round 2: 3.031920
10 Round 3: 2.959976
10 Round 4: 2.944791
9 Round 5: 2.890710
9 Round 6: 3.052451
10 Round 7: 2.971516
9 Round 8: 3.018055
10 Round 9: 3.053983
10 Round 10: 2.895487
Average time: 3.599812	2.994529

source 6: 55680021  
13 Warmup Round: 3.213763
13 Round 1: 3.155739
12 Round 2: 3.183666
12 Round 3: 3.183760
14 Round 4: 3.248750
15 Round 5: 3.334302
13 Round 6: 3.162796
14 Round 7: 3.372897
14 Round 8: 3.289169
13 Round 9: 3.169928
14 Round 10: 3.287767
9 Warmup Round: 2.790812
10 Round 1: 2.770671
8 Round 2: 2.747795
11 Round 3: 2.747089
10 Round 4: 2.775068
10 Round 5: 2.820887
9 Round 6: 2.711706
11 Round 7: 2.682868
10 Round 8: 2.781253
10 Round 9: 2.749699
11 Round 10: 2.718710
Average time: 3.238877	2.750575

source 7: 74270785  
15 Warmup Round: 2.461685
15 Round 1: 2.420590
15 Round 2: 2.439706
15 Round 3: 2.532010
15 Round 4: 2.437124
15 Round 5: 2.484006
14 Round 6: 2.433464
15 Round 7: 2.493126
16 Round 8: 2.437789
12 Round 9: 2.460599
12 Round 10: 2.465710
10 Warmup Round: 2.308011
12 Round 1: 2.271659
14 Round 2: 2.439362
11 Round 3: 2.531439
13 Round 4: 2.353819
10 Round 5: 2.257916
12 Round 6: 2.292506
11 Round 7: 2.270324
11 Round 8: 2.335992
10 Round 9: 2.370982
13 Round 10: 2.408330
Average time: 2.460412	2.353233

source 8: 46248792  
15 Warmup Round: 2.728141
15 Round 1: 2.688248
16 Round 2: 2.827712
15 Round 3: 2.622467
15 Round 4: 2.777614
12 Round 5: 2.617617
16 Round 6: 3.007470
13 Round 7: 2.563744
15 Round 8: 2.754163
15 Round 9: 2.711870
14 Round 10: 2.653540
10 Warmup Round: 2.284168
11 Round 1: 2.213018
9 Round 2: 2.237059
10 Round 3: 2.323171
10 Round 4: 2.266518
10 Round 5: 2.230784
9 Round 6: 2.250631
9 Round 7: 2.236576
8 Round 8: 2.215192
10 Round 9: 2.296734
9 Round 10: 2.274697
Average time: 2.722444	2.254438

source 9: 14438379  
13 Warmup Round: 4.070762
15 Round 1: 4.063783
15 Round 2: 4.114500
15 Round 3: 4.216122
13 Round 4: 3.912252
16 Round 5: 4.270972
14 Round 6: 4.086518
15 Round 7: 4.119330
15 Round 8: 4.037989
15 Round 9: 4.142691
13 Round 10: 3.931913
9 Warmup Round: 3.506387
12 Round 1: 3.388288
11 Round 2: 3.416238
10 Round 3: 3.519947
9 Round 4: 3.406482
10 Round 5: 3.307860
11 Round 6: 3.461024
10 Round 7: 3.398483
11 Round 8: 3.376087
10 Round 9: 3.367197
10 Round 10: 3.392578
Average time: 4.089607	3.403418

source 10: 17077283  
3 Warmup Round: 0.020775
3 Round 1: 0.011671
3 Round 2: 0.010939
3 Round 3: 0.024512
3 Round 4: 0.011879
3 Round 5: 0.016407
3 Round 6: 0.011273
3 Round 7: 0.011434
3 Round 8: 0.015096
3 Round 9: 0.010641
3 Round 10: 0.022363
3 Warmup Round: 0.084128
3 Round 1: 0.054834
3 Round 2: 0.049431
3 Round 3: 0.054000
3 Round 4: 0.049612
3 Round 5: 0.047998
3 Round 6: 0.047858
3 Round 7: 0.056076
3 Round 8: 0.049063
3 Round 9: 0.053759
3 Round 10: 0.051904
Average time: 0.014622	0.051453

source 11: 30503288  
15 Warmup Round: 3.639994
15 Round 1: 3.401888
13 Round 2: 3.202739
13 Round 3: 3.271558
16 Round 4: 3.726727
13 Round 5: 3.201037
12 Round 6: 3.192904
16 Round 7: 3.826252
15 Round 8: 3.372089
14 Round 9: 3.396866
15 Round 10: 3.876662
10 Warmup Round: 2.751922
12 Round 1: 2.924661
9 Round 2: 2.952188
11 Round 3: 2.954548
11 Round 4: 2.868365
11 Round 5: 2.737013
11 Round 6: 2.767085
11 Round 7: 2.782567
9 Round 8: 2.717729
10 Round 9: 2.834155
11 Round 10: 2.725760
Average time: 3.446872	2.826407

source 12: 49715847  
14 Warmup Round: 2.628935
13 Round 1: 2.647228
15 Round 2: 3.092113
12 Round 3: 2.630236
12 Round 4: 2.474512
16 Round 5: 3.066978
15 Round 6: 2.589636
12 Round 7: 2.663658
12 Round 8: 2.603520
16 Round 9: 3.339432
15 Round 10: 2.757877
12 Warmup Round: 2.403396
12 Round 1: 2.361299
11 Round 2: 2.330758
11 Round 3: 2.391238
11 Round 4: 2.380734
12 Round 5: 2.328990
12 Round 6: 2.334835
11 Round 7: 2.439311
13 Round 8: 2.472100
11 Round 9: 2.379975
13 Round 10: 2.357386
Average time: 2.786519	2.377663

source 13: 84851845  
16 Warmup Round: 3.241151
16 Round 1: 3.080556
15 Round 2: 2.511635
13 Round 3: 2.549453
14 Round 4: 2.529400
16 Round 5: 2.771328
13 Round 6: 2.520672
13 Round 7: 2.524077
15 Round 8: 2.642937
13 Round 9: 2.505202
13 Round 10: 2.546213
11 Warmup Round: 2.267211
11 Round 1: 2.273984
8 Round 2: 2.267149
9 Round 3: 2.219067
9 Round 4: 2.271225
9 Round 5: 2.281240
11 Round 6: 2.277700
11 Round 7: 2.299770
9 Round 8: 2.262830
8 Round 9: 2.256224
10 Round 10: 2.232098
Average time: 2.618147	2.264129

source 14: 39100487  
14 Warmup Round: 2.898999
13 Round 1: 2.945071
16 Round 2: 3.303875
16 Round 3: 3.688651
16 Round 4: 3.471762
15 Round 5: 2.930690
16 Round 6: 3.475400
15 Round 7: 3.190625
15 Round 8: 3.122242
13 Round 9: 2.822956
16 Round 10: 3.358044
8 Warmup Round: 2.480290
9 Round 1: 2.488743
8 Round 2: 2.501929
8 Round 3: 2.503183
8 Round 4: 2.464975
9 Round 5: 2.474763
7 Round 6: 2.573139
10 Round 7: 2.532387
12 Round 8: 2.471651
10 Round 9: 2.453189
11 Round 10: 2.572528
Average time: 3.230932	2.503649

source 15: 40544520  
13 Warmup Round: 2.389507
15 Round 1: 2.903557
14 Round 2: 2.570360
14 Round 3: 2.572224
15 Round 4: 3.014111
15 Round 5: 2.712804
14 Round 6: 2.644295
12 Round 7: 2.447682
15 Round 8: 2.754708
13 Round 9: 2.502859
14 Round 10: 2.533532
8 Warmup Round: 2.189297
9 Round 1: 2.169061
8 Round 2: 2.222353
9 Round 3: 2.301188
8 Round 4: 2.261889
9 Round 5: 2.182336
7 Round 6: 2.286030
9 Round 7: 2.305772
7 Round 8: 2.276481
8 Round 9: 2.222628
9 Round 10: 2.216963
Average time: 2.665613	2.244470

source 16: 68564888  
11 Warmup Round: 2.035917
14 Round 1: 2.178243
14 Round 2: 2.164401
11 Round 3: 2.074161
14 Round 4: 2.299758
11 Round 5: 2.077583
13 Round 6: 2.113385
14 Round 7: 2.180048
13 Round 8: 2.181741
13 Round 9: 2.121970
15 Round 10: 2.180824
11 Warmup Round: 2.361616
12 Round 1: 2.403648
12 Round 2: 2.352405
12 Round 3: 2.443956
13 Round 4: 2.333028
13 Round 5: 2.272913
12 Round 6: 2.350035
11 Round 7: 2.218987
