Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=8388608, num_src=25, num_round=10
source 0: 739296    
5 Warmup Round: 0.019840
4 Round 1: 0.013797
5 Round 2: 0.013073
4 Round 3: 0.012682
4 Round 4: 0.012460
4 Round 5: 0.011564
4 Round 6: 0.012737
5 Round 7: 0.013958
5 Round 8: 0.013045
4 Round 9: 0.012185
4 Round 10: 0.012399
4 Warmup Round: 0.016167
5 Round 1: 0.012400
4 Round 2: 0.010790
5 Round 3: 0.013466
4 Round 4: 0.010993
5 Round 5: 0.014551
5 Round 6: 0.013579
5 Round 7: 0.011560
4 Round 8: 0.011969
5 Round 9: 0.012590
5 Round 10: 0.013244
Average time: 0.012790	0.012514

source 1: 498356    
4 Warmup Round: 0.014164
4 Round 1: 0.013509
4 Round 2: 0.013278
4 Round 3: 0.013375
4 Round 4: 0.013321
5 Round 5: 0.013015
4 Round 6: 0.012912
5 Round 7: 0.013499
5 Round 8: 0.013535
4 Round 9: 0.014319
4 Round 10: 0.013825
4 Warmup Round: 0.012390
5 Round 1: 0.012578
4 Round 2: 0.011433
5 Round 3: 0.011935
4 Round 4: 0.010700
4 Round 5: 0.010515
4 Round 6: 0.010880
4 Round 7: 0.012432
4 Round 8: 0.012093
4 Round 9: 0.011585
4 Round 10: 0.010805
Average time: 0.013459	0.011496

source 2: 480923    
4 Warmup Round: 0.013018
4 Round 1: 0.014498
4 Round 2: 0.011583
5 Round 3: 0.013224
6 Round 4: 0.014124
4 Round 5: 0.022155
4 Round 6: 0.015292
4 Round 7: 0.013806
4 Round 8: 0.015151
5 Round 9: 0.013612
5 Round 10: 0.016816
4 Warmup Round: 0.011717
4 Round 1: 0.011718
4 Round 2: 0.010467
4 Round 3: 0.010667
5 Round 4: 0.010711
6 Round 5: 0.026550
4 Round 6: 0.023657
5 Round 7: 0.011239
4 Round 8: 0.010711
4 Round 9: 0.011643
4 Round 10: 0.009587
Average time: 0.015026	0.013695

source 3: 653291    
5 Warmup Round: 0.013508
5 Round 1: 0.021308
5 Round 2: 0.015652
5 Round 3: 0.013979
4 Round 4: 0.011486
4 Round 5: 0.011864
4 Round 6: 0.011548
