Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=262144, num_src=25, num_round=10
source 0: 739296    
8 Warmup Round: 0.020721
9 Round 1: 0.013628
9 Round 2: 0.012993
8 Round 3: 0.013493
8 Round 4: 0.012889
8 Round 5: 0.012964
9 Round 6: 0.012405
8 Round 7: 0.013562
8 Round 8: 0.014363
9 Round 9: 0.013696
8 Round 10: 0.011763
7 Warmup Round: 0.022320
7 Round 1: 0.018213
7 Round 2: 0.019295
7 Round 3: 0.018000
7 Round 4: 0.020123
7 Round 5: 0.018487
6 Round 6: 0.016942
7 Round 7: 0.018375
6 Round 8: 0.017475
7 Round 9: 0.019328
5 Round 10: 0.016646
Average time: 0.013176	0.018288

source 1: 498356    
9 Warmup Round: 0.013359
9 Round 1: 0.013562
9 Round 2: 0.011434
8 Round 3: 0.013786
8 Round 4: 0.012899
8 Round 5: 0.012830
8 Round 6: 0.024186
8 Round 7: 0.013184
9 Round 8: 0.014113
8 Round 9: 0.014306
8 Round 10: 0.012602
6 Warmup Round: 0.020421
6 Round 1: 0.017567
6 Round 2: 0.019069
6 Round 3: 0.017286
5 Round 4: 0.018310
6 Round 5: 0.018783
6 Round 6: 0.017774
6 Round 7: 0.019384
6 Round 8: 0.016380
5 Round 9: 0.016327
6 Round 10: 0.020841
Average time: 0.014290	0.018172

source 2: 480923    
8 Warmup Round: 0.015839
8 Round 1: 0.014383
8 Round 2: 0.013449
8 Round 3: 0.013991
8 Round 4: 0.014016
9 Round 5: 0.014034
9 Round 6: 0.014075
8 Round 7: 0.014054
8 Round 8: 0.015481
9 Round 9: 0.015475
8 Round 10: 0.014162
6 Warmup Round: 0.020259
6 Round 1: 0.022183
7 Round 2: 0.020989
6 Round 3: 0.020087
8 Round 4: 0.023136
8 Round 5: 0.022346
6 Round 6: 0.019976
9 Round 7: 0.021054
6 Round 8: 0.019296
7 Round 9: 0.020263
6 Round 10: 0.019363
Average time: 0.014312	0.020869

source 3: 653291    
9 Warmup Round: 0.015114
9 Round 1: 0.015796
9 Round 2: 0.012427
9 Round 3: 0.015010
9 Round 4: 0.012588
10 Round 5: 0.015587
10 Round 6: 0.015196
9 Round 7: 0.014556
9 Round 8: 0.015157
10 Round 9: 0.014407
9 Round 10: 0.014221
8 Warmup Round: 0.023456
7 Round 1: 0.020646
7 Round 2: 0.020392
8 Round 3: 0.020571
9 Round 4: 0.021432
8 Round 5: 0.020574
7 Round 6: 0.020866
7 Round 7: 0.021174
8 Round 8: 0.020337
8 Round 9: 0.021261
8 Round 10: 0.020768
Average time: 0.014495	0.020802

source 4: 578021    
8 Warmup Round: 0.014220
8 Round 1: 0.013308
8 Round 2: 0.012162
8 Round 3: 0.012430
8 Round 4: 0.013995
8 Round 5: 0.011881
8 Round 6: 0.013294
8 Round 7: 0.013522
8 Round 8: 0.012420
8 Round 9: 0.011818
8 Round 10: 0.011799
7 Warmup Round: 0.019039
6 Round 1: 0.019081
6 Round 2: 0.018313
7 Round 3: 0.017380
7 Round 4: 0.017486
6 Round 5: 0.016699
8 Round 6: 0.016828
7 Round 7: 0.018429
6 Round 8: 0.017503
6 Round 9: 0.017003
6 Round 10: 0.016545
Average time: 0.012663	0.017527

source 5: 261897    
8 Warmup Round: 0.012640
7 Round 1: 0.012953
7 Round 2: 0.012384
8 Round 3: 0.012346
7 Round 4: 0.013058
7 Round 5: 0.012637
7 Round 6: 0.013426
8 Round 7: 0.014168
9 Round 8: 0.012842
7 Round 9: 0.013929
7 Round 10: 0.013101
6 Warmup Round: 0.013334
7 Round 1: 0.030271
6 Round 2: 0.014005
6 Round 3: 0.014910
6 Round 4: 0.014422
6 Round 5: 0.013879
6 Round 6: 0.013089
7 Round 7: 0.014213
6 Round 8: 0.013055
6 Round 9: 0.013344
6 Round 10: 0.014087
Average time: 0.013084	0.015527

source 6: 638539    
9 Warmup Round: 0.014048
9 Round 1: 0.016437
9 Round 2: 0.015132
11 Round 3: 0.014637
9 Round 4: 0.014737
11 Round 5: 0.014201
9 Round 6: 0.014912
9 Round 7: 0.015859
9 Round 8: 0.013661
9 Round 9: 0.013601
9 Round 10: 0.014669
9 Warmup Round: 0.018317
8 Round 1: 0.021403
8 Round 2: 0.018092
9 Round 3: 0.017501
8 Round 4: 0.018400
8 Round 5: 0.018107
8 Round 6: 0.019056
8 Round 7: 0.019927
7 Round 8: 0.017873
9 Round 9: 0.018320
9 Round 10: 0.019564
Average time: 0.014785	0.018824

source 7: 839330    
8 Warmup Round: 0.015380
8 Round 1: 0.013776
8 Round 2: 0.013039
8 Round 3: 0.014590
8 Round 4: 0.014245
8 Round 5: 0.015026
8 Round 6: 0.014447
8 Round 7: 0.014460
8 Round 8: 0.015436
8 Round 9: 0.013657
8 Round 10: 0.019364
8 Warmup Round: 0.024360
6 Round 1: 0.021783
6 Round 2: 0.022502
7 Round 3: 0.022554
7 Round 4: 0.024521
8 Round 5: 0.025447
8 Round 6: 0.023385
6 Round 7: 0.023957
7 Round 8: 0.021786
8 Round 9: 0.025129
7 Round 10: 0.023862
Average time: 0.014804	0.023493

source 8: 87689     
11 Warmup Round: 0.014731
10 Round 1: 0.014146
11 Round 2: 0.014358
10 Round 3: 0.014872
11 Round 4: 0.016770
11 Round 5: 0.014857
11 Round 6: 0.013815
11 Round 7: 0.014443
10 Round 8: 0.013708
11 Round 9: 0.013878
11 Round 10: 0.014968
9 Warmup Round: 0.019284
9 Round 1: 0.018158
9 Round 2: 0.018671
9 Round 3: 0.018106
9 Round 4: 0.018568
9 Round 5: 0.020231
8 Round 6: 0.019203
10 Round 7: 0.021366
8 Round 8: 0.017927
10 Round 9: 0.020090
9 Round 10: 0.019544
Average time: 0.014582	0.019186

source 9: 504552    
8 Warmup Round: 0.012395
8 Round 1: 0.015614
8 Round 2: 0.015065
8 Round 3: 0.014221
8 Round 4: 0.014026
8 Round 5: 0.013598
8 Round 6: 0.015429
8 Round 7: 0.014345
8 Round 8: 0.013481
8 Round 9: 0.014559
8 Round 10: 0.013860
6 Warmup Round: 0.014758
7 Round 1: 0.015704
6 Round 2: 0.017390
7 Round 3: 0.018975
7 Round 4: 0.019813
6 Round 5: 0.017102
7 Round 6: 0.018367
6 Round 7: 0.018311
8 Round 8: 0.017416
7 Round 9: 0.018941
7 Round 10: 0.018128
Average time: 0.014420	0.018015

source 10: 765409    
9 Warmup Round: 0.015054
9 Round 1: 0.014908
